Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,24923076923.0769,24917355371.9008,23409260879.9427,21250792886.1054,20374302652.3819,21035357936.8796,22165932062.966,22135245507.3656,16870817181.7799,18291990662.0356,22152689179.8815,24636598527.4437,30833692900.1091,43151647002.6096,57123671733.8952,81003864630.018,104849915058.376,133441648851.982,115308686941.38,148047348240.643,192626464617.071,207998568865.789,236634603409.089,221415613595.469,184388404706.042,137278320084.171,166805788827.233,179339977690.485,181667184854.501,171082365861.423,197112255360.612,225496328925.494,261840101059.923,288406138230.669
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1442.42455540825,1437.59848100913,1355.13493859139,1246.83633018218,1217.79138769863,1281.39152895397,1381.63593295187,1414.59289652597,1091.54727722159,1180.0444563226,1422.27331810957,1573.55219932325,1958.02050246511,2722.47407755402,3577.35804001782,5030.13494711519,6449.43931096532,8123.54705891736,6938.01175663001,8793.07589980782,11287.1464926039,12018.7966527993,13478.459627612,12427.7094576939,10196.1226255982,7475.56688689424,8943.08416791984,9472.48527327758,9457.12614657136,8781.50797787648,9983.60103576902,11255.3396437881,12879.4275257974,14005.3487362345
Kazakhstan,KAZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7192.80207972621,6945.09441100731,6477.34852532472,5860.35066863477,5595.43398949421,5836.07198360121,6177.92475026557,6283.54590535624,6625.78215190847,7418.19612076858,8568.08719492031,9504.45082486949,10532.4466973491,11777.1119570134,13226.1466963892,14965.7723195676,16581.2240531177,17278.4721681147,17389.0145838316,18641.8061477073,20159.9329426413,21367.2180595372,23754.1341952117,23958.1128890603,22484.3651382607,23023.0872293899,23973.0602295651,25096.1285862615,28689.2710838374,29039.8229624509,32945.8515725823,35895.0839871667,38515.1836010946,40813.0442804706
Kazakhstan,KAZ,Gini index,SI.POV.GINI,..,..,32.7,..,..,35.4,..,..,..,..,36,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,27.5,27.8,28,28.7,29.2,..,..,..
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,2542256424.35069,2315346942.855,2026019252.61241,1681780847.41091,1661147035.24388,1827570586.16784,1767864035.71943,1645963749.83146,1249061487.01457,1369688498.06778,1525116370.27939,1605643104.73021,1919008090.49641,2211534585.0034,2460246766.41401,2834168889.42019,3802570552.56105,5139958909.17936,4690061380.60253,4794361863.01353,6197765984.28468,6605142884.36215,7335033800.59056,7468102412.68237,6678177511.66313,6813095379.1187,7702938379.42036,8271106235.41552,9371275264.36735,8270468614.24051,9249133946.26531,12134931017.9465,15180842369.4894,17478259659.2625
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,569.548584035047,512.766741120388,448.554190878232,372.481759948941,364.250365258345,394.856879614212,376.427930059811,345.137046084246,258.048055936976,279.621738464365,308.41129550148,321.726775366804,380.505828812441,433.233873286,476.548193640077,543.113512472219,721.771577544361,966.388569370494,870.198894546917,876.954476440354,1117.40174350185,1168.62244675446,1269.66303464348,1264.52668823891,1105.65193844261,1103.27489428412,1221.39046807082,1283.5203037417,1421.99927504102,1229.51766602907,1349.99730650542,1739.72018344174,2138.22210211478,2419.26553574523
Kyrgyz Republic,KGZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2381.59403589018,2074.73448703806,1795.02243591929,1465.67275987187,1401.15681749774,1505.44883738041,1658.88675232759,1687.04763674764,1747.30607418367,1861.86559711699,1986.16135823429,1998.23788061971,2158.19667404533,2343.43044015004,2385.59446517801,2508.38844842805,2769.89508451908,3031.49407050215,3096.93814114872,3075.61554332455,3278.35102220086,3588.67988824025,4000.96295765107,4228.1951482992,4153.3766990372,4603.75964247878,4953.71755085199,4777.94175395575,5304.22758314405,5178.5619670404,5736.47883415154,6577.51217728389,7298.08612561933,8009.40919445692
Kyrgyz Republic,KGZ,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,46.3,..,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,27.3,27.7,29.7,29,28.8,26.4,..,..
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,5608208784.9401,5799465288.41246,6349481006.53278,6974112951.26891,7324192889.74297,7761252607.18424,8190888739.6463,9249030241.01864,11244337719.8377,13827070378.5612,16306935905.4138,20434922247.3037,29420499247.7089,34135200994.0067,25691530442.035,23468324572.3343,26575547900.8247,27116149948.6683,29152128167.8438,30277203767.4058,26344565876.8902,27117105059.5075,29391059767.4259,33247935477.3576,33099503950.847,33379927434.6149,38183326784.9335,38014713595.7686,42572151720.138,43520773851.1219
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,2256.77360387054,2360.1714816213,2609.89308697195,2893.79998716563,3063.89794599707,3278.17896440803,3504.61829462397,4003.60935783538,4914.57992829302,6109.73265186817,7283.78738127622,9211.7374468148,13370.9789452508,15677.6080864506,11996.0322729773,11188.4191700977,12902.574053337,13329.3499931271,14484.4715282132,15185.814581236,13321.9753140616,13838.5266823272,15132.4958333982,17252.1710428626,17294.9751600969,17564.2321549354,20261.8887788916,20227.2307431581,22675.5786295407,23367.5986788961
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6761.93029990412,4759.77988472631,4722.00398503732,5011.63179851938,5341.5481059568,5636.10158163726,6308.92711124729,6878.64308395672,7199.81211587757,7840.88147857358,8861.65345708332,9756.29800792346,10565.7335109121,11761.314151214,13343.8894481784,15024.6361475622,17281.0422640276,18634.7309608539,16559.5227779875,17343.4658666613,18618.7015409025,20494.0464806476,21850.1266362473,22973.693280582,24137.87643586,25802.1555784173,27645.8226249652,29817.8047263182,32199.0960377091,32741.4207691987,36912.0130602161,39960.8443388997,41810.0065349083,43866.9592690499
Latvia,LVA,Gini index,SI.POV.GINI,..,..,27,..,31,31.6,34.4,33.3,..,..,..,35.1,36.5,36.4,39,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,34.3,35.6,35.1,34.5,35.7,34.3,33.7,..,..
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,7921210339.58439,8430207164.43677,10168271903.3233,11289161847.2162,11022095813.552,11550695727.2335,12260761329.3051,14282292664.6004,18809197969.5431,22743164431.1972,26105207115.3129,30116192746.8942,39729151614.6689,47831254207.5223,37494380038.9213,36638128534.0643,43186501862.7907,42709372066.8627,46303660422.0434,48306546656.9281,41540954817.2039,42970749245.0336,47756764508.446,54261795148.5372,55122066225.796,57412038533.2718,67037321008.9679,71033884499.7824,79789877416.1681,84869215513.3648
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,2182.69156931505,2340.67545970008,2844.16286797492,3180.64498555255,3127.51176667183,3300.63634928559,3532.52787363242,4148.13091485015,5507.47434187652,6734.57487061946,7857.03148786492,9210.10118229413,12295.1212779366,14955.5345462921,11854.3711053096,11829.122609457,14261.8433787325,14288.1853493139,15636.5252586048,16446.1647181663,14269.8039878287,14934.2702840428,16800.1510246099,19247.2315367967,19608.7943945553,20428.6478157394,23870.4594851722,25085.784063499,27786.0057829276,29386.2878350187
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8709.65564857499,7021.97877258004,6050.58544364228,5615.09121186818,5967.19145428301,6419.66406344336,7102.8812426819,7796.78718194725,7856.70659113875,8465.94329594005,9456.87328070018,10497.2666200199,12085.9566752899,13097.4375662948,14514.7832942166,16446.977802261,19113.9861386164,20735.7079776096,18167.6379038272,19827.948684184,22701.5546059767,24566.898703153,26563.3748975519,28005.7924124857,28853.9978560937,30772.6728449443,33591.5554071488,36491.9385223689,40563.8304884555,41262.7276941725,45873.5273239486,50498.3823963346,50914.8638146665,54413.9640682813
